155,"(64, 32, 16)",0.1,0.01,0.7935340404510498
156,"(64, 32, 16)",0.1,0.005,0.7986375689506531
157,"(64, 32, 16)",0.2,0.02,0.6845332384109497
158,"(64, 32, 16)",0.2,0.01,0.7872880697250366
159,"(64, 32, 16)",0.2,0.005,0.7512098550796509
160,"(64, 32, 16)",0.5,0.02,0.7126924395561218
161,"(64, 32, 16)",0.5,0.01,0.6969352960586548
162,"(64, 32, 16)",0.5,0.005,0.7468783855438232
163,"(64, 16, 16)",0.1,0.02,0.8026283383369446
164,"(64, 16, 16)",0.1,0.01,0.7774045467376709
165,"(64, 16, 16)",0.1,0.005,0.7787037491798401
166,"(64, 16, 16)",0.2,0.02,0.7369799613952637
167,"(64, 16, 16)",0.2,0.01,0.7392899394035339
168,"(64, 16, 16)",0.2,0.005,0.7291052937507629
169,"(64, 16, 16)",0.5,0.02,0.7142574191093445
170,"(64, 16, 16)",0.5,0.01,0.7230537533760071
171,"(64, 16, 16)",0.5,0.005,0.6601037383079529
172,"(32, 16, 16)",0.1,0.02,0.7569562792778015
173,"(32, 16, 16)",0.1,0.01,0.7556214928627014
174,"(32, 16, 16)",0.1,0.005,0.789249837398529
175,"(32, 16, 16)",0.2,0.02,0.7854039669036865
176,"(32, 16, 16)",0.2,0.01,0.7137646675109863
177,"(32, 16, 16)",0.2,0.005,0.7899496555328369
178,"(32, 16, 16)",0.5,0.02,0.7092893123626709
179,"(32, 16, 16)",0.5,0.01,0.774474024772644
180,"(32, 16, 16)",0.5,0.005,0.7319812774658203
